x,y
-7.889363,2.5201514
-7.889363,2.5201514
-7.51802,2.537958
-7.51802,2.537958
-7.51802,2.537958
-7.7215085,2.7155333
-7.7215085,2.7155333
-7.7215085,2.7155333
-7.9715548,2.4489288
-7.9715548,2.4489288
-7.9715548,2.4489288
-7.9715548,2.4489288
-7.905933,2.590762
-7.905933,2.590762
-7.905933,2.590762
-8.371609,2.349889
-8.371609,2.349889
-8.371609,2.349889
-7.7577977,2.2479708
-7.7577977,2.2479708
-7.7577977,2.2479708
-7.933907,2.3970907
-7.933907,2.3970907
-8.006253,2.5457468
-7.945913,2.635299
-7.945913,2.635299
-7.945913,2.635299
-7.973177,2.7253711
-7.973177,2.7253711
-7.973177,2.7253711
-7.4869184,3.110129
-7.4869184,3.110129
-7.4869184,3.110129
-7.4869184,3.110129
-7.8292456,3.0788562
-7.8292456,3.0788562
-7.8292456,3.0788562
-8.487003,2.6826026
-8.487003,2.6826026
-8.487003,2.6826026
-8.627776,2.049228
-8.627776,2.049228
-8.627776,2.049228
-8.313624,2.1867783
-8.313624,2.1867783
-8.313624,2.1867783
-7.9543395,2.9415014
-7.9543395,2.9415014
-7.9543395,2.9415014
-7.9543395,2.9415014
-7.89045,2.752487
-7.89045,2.752487
-7.89045,2.752487
-7.842891,2.7466178
-7.842891,2.7466178
-7.842891,2.7466178
-7.8690753,2.7786534
-7.8690753,2.7786534
-7.8690753,2.7786534
-8.140928,2.5090086
-8.140928,2.5090086
-8.140928,2.5090086
-7.9805465,2.6904542
-8.0451145,2.7923386
-8.217244,2.5967176
-7.9602427,2.47184
-8.053111,2.8280728
